asset_clas,asset_cd,location_d,steward,maintained,maint_info,life_cycle,asset_type,style
"",SPH989,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",RSN017,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",SET013,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
acr 3,BOW220,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
FL ACR 2,ING999,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",LEG103,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2024/09/27-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",CRM003,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",RSN014,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",DOV030,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
acr 3,BOW220,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",EAU131,,OUTSIDE AGENCY,OUTSIDE AGENCY,2017/09/13: AS PER N CRISP THESE ARE PRIVATELY MAINTAINED,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SDC033,,CALGARY PARKS SHARED,LEASE HOLDER,FLUOR DANIEL LEASE;99 YEAR LEASE;THEY MAINTAIN EVERYTHING INCUDING PATHWAY,ACTIVE,BIKE STAND,UPRIGHT
"",WSP002,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2029/04/01 SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",DNC100,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",THO762,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",MOP671,,CALGARY PARKS,CALGARY PARKS,2017/07/05: SEE REPOSITORY FOR FLAG CIRCLE ORDER; R:\Grounds\Procedures\MOP671\FLAG_CIRCLE_ORDER,ACTIVE,FLAG POLE,NOT APPLICABLE
2015/09/24: SPATIAL AS PER 2012 LAYOUT PLAN,BOW220,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SOW216,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2026/12/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,FLAG POLE,FOUL FLAG
"",RSN014,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",RIC637,,CALGARY PARKS SHARED,LEASE HOLDER,"DONATED BY COMMUNITY, INSTALLED BY CAPITAL",ACTIVE,BIKE STAND,NOT APPLICABLE
"",BLN007,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
acr 3,BOW220,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
ACR 3,MON291,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",SNA897,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",GPK500,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"INSTALL DATE BASED ON ORTHO IMAGE 2008 2009
XX ACR 2",DDG672,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,FLAG POLE,NOT APPLICABLE
"",MOP671,,CALGARY PARKS,CALGARY PARKS,2017/07/05: SEE REPOSITORY FOR FLAG CIRCLE ORDER; R:\Grounds\Procedures\MOP671\FLAG_CIRCLE_ORDER,ACTIVE,FLAG POLE,NOT APPLICABLE
OAA EXPIRED 2011/12/31-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,AUB200,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
AGOL - ACR 2,ROC670,,CALGARY PARKS,CALGARY PARKS,AGOL PROJECT - INSTALL DATE MAY BE INCORRECT,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",BLN007,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",BRD771,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2025/09/01 -SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,LITTLE LIBRARY,NOT APPLICABLE
"",ALT701,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FIRE PIT,NOT APPLICABLE
"",DNC130,,CALGARY PARKS,DEVELOPER CONSTRUCTION,"ELECTRICAL PANEL, 2022/06/27: AS PER A KING, SENIOR PROJECT MANAGER, FAC SCHEDULED TO BE ISSUED AFTER 2023-03-09",INSTALLED,ELECTRICAL EVENT PANEL,NOT APPLICABLE
FL ACR 2,ING999,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",DNC130,,CALGARY PARKS,DEVELOPER CONSTRUCTION,"2022/06/27: AS PER A KING, SENIOR PROJECT MANAGER, FAC SCHEDULED TO BE ISSUED AFTER 2023-03-09",INSTALLED,BIKE STAND,UPRIGHT
"",RSN014,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",EAU121,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",SKR402,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,LITTLE LIBRARY,NOT APPLICABLE
AGOL - ACR 2,TEM153,,CALGARY PARKS SHARED,LEASE HOLDER,AGOL PROJECT - INSTALL DATE MAY BE INCORRECT,ACTIVE,BIKE STAND,UPRIGHT
"",WLD050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",MLR000,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",DNC130,,CALGARY PARKS,DEVELOPER CONSTRUCTION,"2022/06/27: AS PER A KING, SENIOR PROJECT MANAGER, FAC SCHEDULED TO BE ISSUED AFTER 2023-03-09",INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
INSTALL DATE UNKNOWN,NEB841,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/03/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",DRN547,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,BIKE STAND,UPRIGHT
"",DNE678,RIVERFRONT LN SE,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
ACR 3,ALT701,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",SET013,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/12/01 - SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,20 AMP
"",SOW224,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",DNC130,,CALGARY PARKS,DEVELOPER CONSTRUCTION,"2022/06/27: AS PER A KING, SENIOR PROJECT MANAGER, FAC SCHEDULED TO BE ISSUED AFTER 2023-03-09",INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
"",HOU605,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,HAMMOCK,NOT APPLICABLE
"",DNC100,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",RIV840,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
DOG PLAY SPACE EQUIPMENT,CUR005,,CALGARY PARKS,DEVELOPER CONSTRUCTION,DOG-FIRE HYDRANT,INSTALLED,DOG EQUIPMENT,NOT APPLICABLE
"",MCT831,OAA EXPIRES 2023/02/20-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",CAR010,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,PING PONG TABLE,PING PONG TABLE
"",PEN578,,OUTSIDE AGENCY,OUTSIDE AGENCY,,ACTIVE,FLAG POLE,NOT APPLICABLE
"",MCT800,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",LEG103,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2024/09/27-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",ALT701,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",MCT834,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SOW224,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",CAP321,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",RYV001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",PIN027,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",UND001,,CALGARY PARKS SHARED,MAINTENANCE AGREEMENT,OAA EXPIRES 2028/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,BIKE STAND,NOT APPLICABLE
"",WLD050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FIRE PIT,NOT APPLICABLE
"",MCT835,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
ACR 3,EAU102,,CALGARY ROADS,CALGARY ROADS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",WHL493,,CALGARY RECREATION,CALGARY RECREATION,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",09D862,,OUTSIDE AGENCY,OUTSIDE AGENCY,DECOMMISSIONED MONITORING EQUIPMENT AND BORE HOLE FOR CONTAMINATION DETECTION; DO NOT DISTURB OR REMOVE; THE CITY OF CALGARY ENVIRONMENTAL SAFETY MANAGEMENT SHOULD BE CONTACTED FOR CONCERNS OR REMOVAL.  PROJECT LEAD PARKS WAS A KING.,ACTIVE,OTHER EQUIPMENT,NOT APPLICABLE
"",LIV009,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/04/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
LIGHT RECEPTACLES 20 AMP RECEPTACLES COMPLETE WITH IN USE COVER (MOUNTED TO 4X4 TREATED POSTS),HSN003,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/06/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
"",MCT900,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",BLN016,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",MOP671,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",ROY301,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",CAN334,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,BIKE STAND,UPRIGHT
"",WLD050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",DOV030,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",EAU131,,OUTSIDE AGENCY,OUTSIDE AGENCY,2017/09/13: AS PER N CRISP THESE ARE PRIVATELY MAINTAINED,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
INSTALL DATE UNKNOWN,GAG558,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2024/12/10-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MCT800,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MCT800,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",CAP321,1531 21 AV NW,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",WLD050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
2020/06/03: USED SITE ELEMENT DATE; OAA EXPIRED 2015/09/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,MAH455,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SNA868,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MNI063,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FLAG POLE,NOT APPLICABLE
"",MOP671,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",CAR003,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/04/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
"",SOW224,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MCT800,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MCT835,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
INSTALL DATE UNKNOWN,NEB841,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/03/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",SOW224,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
ACR 3,PKH200,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",MID384,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,BIKE STAND,UPRIGHT
"",ALT701,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",EAU120,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",FAI203,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2026/09/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,LITTLE LIBRARY,NOT APPLICABLE
"",EAU131,,OUTSIDE AGENCY,OUTSIDE AGENCY,2017/09/13: AS PER N CRISP THESE ARE PRIVATELY MAINTAINED,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",GAW632,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
INSTALL DATE UNKNOWN,NEB841,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/03/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",EVE000,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",CSC002,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
acr 2,BOW220,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FIRE PIT,NOT APPLICABLE
"",EAU131,,OUTSIDE AGENCY,OUTSIDE AGENCY,2017/09/13: AS PER N CRISP THESE ARE PRIVATELY MAINTAINED,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SPH989,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
XX ACR 2,DNW129,,CALGARY PARKS,CALGARY PARKS,EQUIPARC EP5830 METALLIC GREY,ACTIVE,BIKE STAND,NOT APPLICABLE
"",GAW632,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
2018/01/29: PRAIRIE WINDS PARK REDEVELOPMENT; PROJECT MANAGER M WONG,WES099,,CALGARY PARKS,CALGARY PARKS,TANDOORI OVEN,ACTIVE,BBQ,NOT APPLICABLE
"",RSN014,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",12B001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",RSN014,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",WHL472,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",PEN578,,OUTSIDE AGENCY,OUTSIDE AGENCY,,ACTIVE,FLAG POLE,NOT APPLICABLE
acr 3,BOW220,,CALGARY PARKS,CALGARY PARKS,CONCRETE BASE,ACTIVE,BBQ,NOT APPLICABLE
"",MCT831,OAA EXPIRES 2023/02/20-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",DNC130,,CALGARY PARKS,DEVELOPER CONSTRUCTION,"2022/06/27: AS PER A KING, SENIOR PROJECT MANAGER, FAC SCHEDULED TO BE ISSUED AFTER 2023-03-09",INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
"",12B001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",ROY393,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2029/03/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",MCT831,OAA EXPIRES 2023/02/20-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MCT800,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",AUB014,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",12B001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"GREENWAY; PARKS FOUNDATION EAST CALGARY GREENWAY PROJECT
XX ACR 2",MOR001,MONTEREY GREENWAY,CALGARY PARKS,CALGARY PARKS,GREENWAY; CCC/FACD WITH PH 2,ACTIVE,BIKE STAND,SPIRAL
OAA EXPIRED 2020/08/-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,SOM656,A-51353680,CALGARY PARKS,CALGARY PARKS,,ACTIVE,LITTLE LIBRARY,NOT APPLICABLE
ACR 2 FL ACR 2,ING030,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",CAR004,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/04/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
"",DOV030,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",CIT967,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",EAU131,,OUTSIDE AGENCY,OUTSIDE AGENCY,2017/09/13: AS PER N CRISP THESE ARE PRIVATELY MAINTAINED,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MOP671,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
2018/01/25: PRAIRIE WINDS PARK REDEVELOPMENT; PROJECT MANAGER M WONG,WES099,,CALGARY PARKS,CALGARY PARKS,ELECTRICAL PODIUM FOR EVENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",LIV009,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/04/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
PM IS J THOMPSON; TO BE FACD 2022/09/23,MOP775,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,BIKE STAND,NOT APPLICABLE
2015/09/24: SPATIAL AS PER 2012 LAYOUT PLAN,BOW220,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FIRE PIT,NOT APPLICABLE
FROM INSPECTOR,ABP799,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
REHABILITATED FLAG POLE,BLN007,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FLAG POLE,NOT APPLICABLE
"",RSN014,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",GPK056,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",EAU131,,OUTSIDE AGENCY,OUTSIDE AGENCY,2017/09/13: AS PER N CRISP THESE ARE PRIVATELY MAINTAINED,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",BOW220,,CALGARY PARKS,CALGARY PARKS,CONCRETE BASE,ACTIVE,BBQ,NOT APPLICABLE
2022/02/07: AS PER R MAY FAC REJECTED IN 2021,GPK704,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,BBQ,NOT APPLICABLE
"",LEG103,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2024/09/27-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",EAU121,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",SOW224,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MNI061,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FLAG POLE,NOT APPLICABLE
"",ALB630,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,FIRE PIT,NOT APPLICABLE
"",QLD577,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",WSP005,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2029/04/01 SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
